"loan_amnt","term","int_rate","addr_state","dti","delinq_2yrs","inq_last_6mths","open_acc","revol_bal","revol_util","total_acc","collections_12_mths_ex_med","application_type","acc_now_delinq","tot_coll_amt","tot_cur_bal","total_rev_hi_lim","has_major_derog","has_delinq","has_public_record","has_credit_summary","earliest_cr_line_age_years","employed_flag","home_ownership.MORTGAGE","home_ownership.OTHER","home_ownership.OWN","purpose.credit_card","purpose.debt_consolidation","purpose.home_improvement","annual_inc_log","pub_rec_flag","verification_status.Source.Verified","verification_status.Verified"
3500," 36 months",10.99,"CT",24.35,0,0,17,8411,16.8,33,0,"INDIVIDUAL",0,0,167039,50200,0,0,1,1,34.6657534246575,1,1,0,0,0,1,0,10.7144399907278,1,0,0
6350," 36 months",17.27,"CA",10.15,0,0,8,13891,73.9,20,0,"INDIVIDUAL",0,0,19141,18800,0,1,0,1,24.5835616438356,1,0,0,0,1,0,0,10.4042931430198,0,0,0
15000," 60 months",16.99,"LA",10.51,0,0,7,7615,48.2,10,0,"INDIVIDUAL",0,0,17572,15800,0,0,0,1,20.0794520547945,1,0,0,0,0,1,0,11.4075760603618,0,1,0
30000," 60 months",16.78,"CA",19.63,0,0,11,25124,62.3,20,0,"INDIVIDUAL",0,0,130114,40300,0,0,0,1,25.9972602739726,1,1,0,0,0,1,0,11.1124628236349,0,0,1
18000," 60 months",21.99,"WV",27.96,0,0,7,1210,16.6,15,0,"INDIVIDUAL",0,0,88430,7300,0,0,1,1,21.6657534246575,1,0,0,1,0,0,0,11.1562648066437,1,0,1
4800," 36 months",13.98,"NY",17.65,0,1,6,8612,71,13,0,"INDIVIDUAL",0,0,41498,12160,1,1,0,1,29.4986301369863,1,0,0,0,0,1,0,10.9151066458675,0,1,0
35000," 60 months",10.99,"TX",27.12,0,0,18,27152,48.6,39,0,"INDIVIDUAL",0,0,318625,55900,0,1,0,1,33.9972602739726,1,1,0,0,0,1,0,12.1547846142867,0,1,0
6400," 36 months",10.99,"GA",13.92,0,0,8,4693,46.9,10,0,"INDIVIDUAL",0,100,11226,10000,0,1,0,1,16.2465753424658,1,0,0,0,0,1,0,10.5966597327836,0,0,0
24000," 36 months",6.89,"NJ",25.77,0,1,14,55273,62.2,24,0,"INDIVIDUAL",0,0,382914,88900,0,0,0,1,25.4164383561644,1,1,0,0,1,0,0,11.7360770162524,0,1,0
4750," 36 months",17.14,"CA",16.2,4,1,9,103,6.1,14,0,"INDIVIDUAL",0,530,21107,1700,1,1,0,1,16.0794520547945,1,0,0,0,0,1,0,10.3735224312936,0,1,0
28000," 36 months",12.99,"CA",18.4,1,1,12,39575,69.4,23,0,"INDIVIDUAL",0,0,679167,57000,0,1,0,1,34.9123287671233,1,1,0,0,0,1,0,11.6952553550628,0,1,0
28000," 60 months",16.2,"MI",14.61,0,2,14,21404,72.1,31,0,"INDIVIDUAL",0,0,292159,29700,0,0,0,1,24.4164383561644,1,1,0,0,0,1,0,11.8494048444231,0,0,1
12000," 36 months",18.55,"CA",12.87,5,1,16,2332,32.8,33,0,"INDIVIDUAL",0,0,74599,7100,1,1,0,1,22.4986301369863,1,0,0,1,0,0,0,10.8910148236579,0,0,0
27700," 60 months",19.19,"IL",22.82,0,2,11,35163,83.3,24,0,"INDIVIDUAL",0,0,60448,42200,0,0,0,1,27.6657534246575,1,0,0,0,1,0,0,11.0509058782636,0,1,0
12000," 36 months",8.18,"CA",17.94,0,0,8,10789,41.5,24,0,"INDIVIDUAL",0,0,26323,26000,0,1,0,1,30.0794520547945,1,0,0,0,0,1,0,10.5966597327836,0,0,0
21200," 60 months",12.39,"CA",15.39,0,0,10,22682,45.8,17,0,"INDIVIDUAL",0,0,277837,49500,0,0,0,1,28.1643835616438,1,1,0,0,0,1,0,11.4075760603618,0,1,0
24000," 36 months",10.99,"VA",7.54,0,0,8,40918,80.4,27,0,"INDIVIDUAL",0,55,40918,50900,1,1,0,1,27.7506849315069,1,0,0,0,1,0,0,11.7752974217158,0,1,0
18225," 36 months",7.62,"PA",14.02,0,0,6,12543,67.4,17,0,"INDIVIDUAL",0,0,80647,23700,0,0,0,0,29.9972602739726,1,0,0,0,0,1,0,10.5132802977009,0,0,1
8500," 36 months",11.53,"PA",26.87,0,0,14,10001,66.7,18,0,"INDIVIDUAL",0,0,32734,15000,0,0,0,1,19.6657534246575,1,0,0,0,0,1,0,10.5584394939645,0,1,0
14000," 60 months",12.59,"IL",21.19,0,1,16,22587,69,27,0,"INDIVIDUAL",0,0,53604,32650,0,0,1,1,24.0794520547945,1,0,0,1,1,0,0,11.8056025415918,1,0,1
22400," 60 months",12.59,"OH",29.75,0,0,15,28172,36.9,23,0,"INDIVIDUAL",0,0,43377,76300,0,0,0,1,36.827397260274,0,0,0,1,1,0,0,10.9331248267007,0,0,0
6000," 36 months",9.99,"VA",24.31,0,0,20,44628,63.5,49,0,"INDIVIDUAL",0,0,216874,70300,0,0,0,1,39.2465753424658,1,1,0,0,0,0,0,11.4295547255373,0,0,0
24000," 60 months",19.19,"CO",24.68,0,3,18,6808,9.8,45,0,"INDIVIDUAL",0,0,80617,69700,0,1,0,1,24.827397260274,1,0,0,0,0,1,0,11.2897944135779,0,0,1
20000," 36 months",8.18,"WI",34.53,0,0,10,20152,62.2,18,0,"INDIVIDUAL",0,0,133727,32400,0,0,0,1,24.827397260274,1,1,0,0,0,0,1,11.1562648066437,0,1,0
3000," 36 months",18.24,"FL",20.45,0,1,17,14974,45.8,34,0,"INDIVIDUAL",0,0,92396,32700,0,0,0,1,20.0794520547945,1,1,0,0,0,0,0,10.9151066458675,0,0,0
8000," 36 months",11.53,"AZ",27.36,0,0,19,6776,23.7,49,0,"INDIVIDUAL",0,1767,587423,28600,0,0,1,1,32.9972602739726,1,1,0,0,0,0,0,11.8990310475981,1,0,0
10000," 36 months",19.52,"LA",34.64,0,0,9,9841,65.6,22,0,"INDIVIDUAL",0,0,52537,15000,0,0,0,1,33.5835616438356,1,0,0,1,0,1,0,10.7081984689385,0,1,0
12000," 36 months",6.62,"NY",13.92,0,1,11,4469,7.2,29,0,"INDIVIDUAL",0,0,80647,23700,0,0,0,0,21.5835616438356,1,0,0,0,0,0,0,11.2252567257629,0,1,0
27000," 60 months",24.5,"PA",27.16,0,1,23,27937,81,53,0,"INDIVIDUAL",0,0,281278,34500,0,0,0,1,30.0794520547945,1,1,0,0,1,0,0,11.3504183001091,0,0,1
4500," 36 months",15.27,"FL",20,0,3,11,9284,81.4,14,0,"INDIVIDUAL",0,0,80647,23700,0,0,1,0,19.3315068493151,0,0,0,1,0,0,0,10.2256072829329,1,0,0
15000," 36 months",5.32,"AZ",6.58,0,0,13,19187,16.1,37,0,"INDIVIDUAL",0,0,223349,119500,0,0,0,1,23.5835616438356,1,1,0,0,0,1,0,11.4075760603618,0,0,0
19725," 60 months",19.52,"HI",26.02,0,0,8,14402,57.6,24,0,"INDIVIDUAL",0,0,27693,25000,0,0,1,1,26.7506849315069,1,0,0,0,0,1,0,10.7579241570616,1,1,0
25000," 36 months",5.32,"VA",17.62,0,1,18,26857,33.7,29,0,"INDIVIDUAL",0,0,154240,79700,0,0,0,1,29.1643835616438,1,0,0,1,1,0,0,11.6952553550628,0,0,0
32000," 36 months",8.9,"NY",23.3,0,1,14,21169,31.9,35,0,"INDIVIDUAL",0,0,303690,66300,0,1,0,1,35.2465753424658,1,1,0,0,0,1,0,11.3385839825165,0,0,1
15000," 36 months",10.15,"OH",19.87,0,1,15,10452,66.6,25,0,"INDIVIDUAL",0,0,146941,15700,0,0,0,1,24.0794520547945,1,1,0,0,0,1,0,11.2252567257629,0,0,0
9600," 36 months",9.76,"CA",3.08,0,1,3,3777,61.9,21,0,"INDIVIDUAL",0,0,3777,6100,1,1,0,1,29.2465753424658,1,0,0,0,0,1,0,11.888625282853,0,1,0
10000," 36 months",13.99,"OH",11.42,2,1,8,1081,11.6,20,0,"INDIVIDUAL",0,0,15268,9300,0,1,0,1,21.3315068493151,1,0,0,0,1,0,0,10.8197982842103,0,1,0
2400," 36 months",11.99,"FL",21,0,1,10,2107,23.2,15,0,"INDIVIDUAL",0,0,186148,9100,0,0,1,1,17.6657534246575,1,0,0,1,0,0,0,11.1844352867906,1,0,0
1200," 36 months",13.35,"GA",30.8,0,0,12,7794,70.2,29,0,"INDIVIDUAL",0,0,70339,11100,1,1,0,1,20.3315068493151,1,0,0,0,1,0,0,10.3735224312936,0,0,1
16125," 36 months",15.41,"NJ",15.02,1,0,15,12955,93.2,23,0,"INDIVIDUAL",0,0,26550,13900,0,1,0,1,22.4164383561644,1,0,0,0,0,1,0,10.9331248267007,0,1,0
3000," 36 months",9.76,"NJ",9.48,0,2,12,2910,64.7,32,0,"INDIVIDUAL",0,0,80647,23700,0,1,0,0,26.9972602739726,1,1,0,0,0,0,1,12.0137068134704,0,0,0
12000," 60 months",12.39,"CA",11.48,0,0,4,2486,27.9,17,0,"INDIVIDUAL",0,0,12738,8900,1,1,0,1,24.7506849315069,1,0,0,0,0,0,0,10.8356713184122,0,1,0
9000," 36 months",12.49,"MN",13.92,0,0,10,6397,22.1,20,0,"INDIVIDUAL",0,0,6397,29000,0,1,0,1,26.9123287671233,1,0,0,0,1,0,0,10.1266711030504,0,0,0
12000," 36 months",13.65,"NJ",10.92,0,3,10,4917,24.2,34,0,"INDIVIDUAL",0,0,15252,20300,0,0,1,1,33.3315068493151,1,1,0,0,0,1,0,10.5966597327836,1,0,1
25000," 60 months",13.35,"TX",16.93,0,0,8,27777,83.4,21,0,"INDIVIDUAL",0,0,185343,33300,0,1,0,1,22.4986301369863,1,1,0,0,1,0,0,10.8967578438935,0,1,0
6975," 36 months",17.1,"SC",30.74,0,2,7,6717,47.6,16,0,"INDIVIDUAL",0,0,24128,14100,1,1,0,1,29.3315068493151,1,0,0,0,0,1,0,10.1658902778025,0,0,1
19200," 60 months",16.77,"DE",21.21,0,3,9,7390,37.3,28,0,"INDIVIDUAL",0,0,80647,23700,0,0,1,0,34.9123287671233,1,1,0,0,0,1,0,11.0821579333748,1,1,0
5800," 36 months",9.99,"MT",20.32,0,2,11,14400,55,17,0,"INDIVIDUAL",0,0,236863,26400,0,1,0,1,37.3315068493151,1,1,0,0,1,0,0,11.2252567257629,0,0,0
25000," 60 months",21.99,"OH",39.12,0,2,13,21307,58.4,25,0,"INDIVIDUAL",0,0,122080,36500,0,0,0,1,38.5835616438356,1,1,0,0,0,1,0,10.9853096718968,0,1,0
10000," 60 months",18.24,"AZ",14.02,1,2,15,14690,52.7,50,0,"INDIVIDUAL",0,0,27333,27900,0,1,0,1,34.7506849315068,0,0,0,0,0,1,0,11.2252567257629,0,1,0
10000," 60 months",12.29,"MO",7.28,0,0,6,4510,50.1,11,0,"INDIVIDUAL",0,0,15097,9000,1,1,0,1,18.827397260274,1,1,0,0,0,1,0,11.2252567257629,0,0,0
12000," 60 months",15.61,"FL",7.65,0,0,7,8083,68.5,9,0,"INDIVIDUAL",0,0,8083,11800,0,0,0,1,18.9123287671233,1,0,0,0,0,1,0,10.5966597327836,0,0,1
15000," 60 months",13.66,"FL",21.23,2,0,11,5962,55.7,32,0,"INDIVIDUAL",0,0,84121,10700,1,1,0,1,25.4164383561644,1,0,0,0,0,1,0,11.1272776899325,0,0,0
4800," 36 months",14.49,"NY",14.37,0,0,7,2946,68.5,10,0,"INDIVIDUAL",0,0,124538,4300,0,0,0,1,23.1643835616438,1,1,0,0,0,0,0,10.5713425658087,0,0,0
5000," 36 months",7.69,"TX",5.07,0,2,4,3227,35.5,12,0,"INDIVIDUAL",0,480,3227,9100,0,1,0,1,19.7506849315069,1,1,0,0,1,0,0,10.5966597327836,0,0,0
16700," 60 months",12.29,"CA",9.02,0,0,9,16589,63.6,15,0,"INDIVIDUAL",0,0,233211,26100,0,0,0,1,18.5835616438356,1,0,0,0,0,1,0,10.8590182281479,0,0,0
15000," 36 months",19.05,"OR",22.47,1,2,16,15327,64.4,31,0,"INDIVIDUAL",0,281,292960,23800,0,1,0,1,26.3315068493151,1,1,0,0,1,0,0,11.4616426968431,0,0,1
35000," 36 months",7.26,"NV",28.23,2,0,13,52242,82,36,0,"INDIVIDUAL",0,0,97303,64100,1,1,0,1,38.9972602739726,1,0,0,0,0,1,0,11.6868871754197,0,0,1
12000," 36 months",16.24,"AL",24,0,2,23,20933,50.2,36,0,"INDIVIDUAL",0,0,141342,41700,0,0,1,1,32.1643835616438,1,1,0,0,0,1,0,11.2708666425429,1,1,0
20000," 36 months",15.61,"MA",20.89,0,0,9,18587,84.1,22,0,"INDIVIDUAL",0,6638,236190,22100,1,1,0,1,23.9972602739726,0,0,0,1,1,0,0,11.275797080131,0,1,0
6500," 36 months",15.8,"CO",29.08,1,0,15,5687,40,27,0,"INDIVIDUAL",0,144,23372,14200,1,1,0,1,21.7506849315069,1,0,0,0,0,1,0,10.3089859934221,0,0,0
10000," 36 months",8.94,"RI",10.47,0,0,16,93093,1.4,54,0,"INDIVIDUAL",0,0,80647,23700,0,1,0,0,42.5835616438356,1,1,0,0,0,1,0,11.4075760603618,0,0,0
14650," 36 months",11.99,"SD",27.73,0,2,11,37717,61.9,26,0,"INDIVIDUAL",0,0,212798,60900,0,0,0,1,37.4986301369863,1,1,0,0,1,0,0,10.9331248267007,0,1,0
25000," 60 months",13.33,"VA",27.07,0,0,15,59720,85.4,35,0,"INDIVIDUAL",0,306,301017,69900,0,1,0,1,24.7506849315069,1,1,0,0,0,1,0,11.5129354649202,0,1,0
30000," 60 months",13.33,"PA",13.35,0,1,10,37291,67.8,28,0,"INDIVIDUAL",0,0,566187,55000,0,1,0,1,30.9972602739726,1,1,0,0,1,0,0,12.072546967175,0,0,1
10000," 36 months",11.99,"MA",24.59,1,0,7,8050,47.9,14,0,"INDIVIDUAL",0,0,32251,16800,0,1,0,1,17.0794520547945,1,0,0,0,1,0,0,10.463131911492,0,0,0
35000," 36 months",12.69,"NC",15.35,0,1,14,29333,38.1,40,0,"INDIVIDUAL",0,0,268680,76900,0,0,0,1,40.9972602739726,1,1,0,0,0,1,0,11.9511868474935,0,0,1
